Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
216,Frank Jackson\jacksfr01,PG,20,NOP,15,0,12.0,1.5,4.2,.365,0.5,1.8,.296,1.0,2.4,.417,.429,0.7,0.9,.714,0.1,0.6,0.7,0.6,0.1,0.0,0.7,1.5,4.3
217,Jaren Jackson\jacksja02,C,19,MEM,21,19,25.9,5.2,10.0,.521,0.9,2.4,.360,4.4,7.7,.571,.564,2.4,3.2,.761,1.3,3.3,4.6,1.4,1.0,2.0,1.6,4.0,13.8
218,Josh Jackson\jacksjo02,SG,21,PHO,22,4,18.6,3.1,7.7,.400,0.5,2.1,.261,2.5,5.6,.452,.435,1.0,1.6,.611,0.4,2.6,3.0,1.8,0.8,0.5,2.1,2.3,7.7
219,Justin Jackson\jacksju01,SF,23,SAC,20,2,20.4,2.4,5.5,.436,0.9,2.8,.304,1.6,2.7,.574,.514,0.8,1.0,.800,0.4,2.5,2.9,1.5,0.5,0.2,0.3,1.1,6.5
220,Reggie Jackson\jacksre01,PG,28,DET,19,19,28.9,5.2,13.3,.391,2.2,6.5,.339,3.0,6.8,.442,.474,3.6,4.2,.861,0.6,1.9,2.5,4.1,0.7,0.1,1.8,3.0,16.2
221,LeBron James\jamesle01,PF,34,LAL,22,22,34.8,10.2,19.7,.520,2.2,5.9,.372,8.0,13.8,.582,.575,5.5,7.7,.710,1.0,6.8,7.8,6.6,1.3,0.9,3.5,1.9,28.1
222,Jonas Jerebko\jerebjo01,PF,31,GSW,23,4,19.4,2.4,5.3,.455,1.0,2.8,.359,1.4,2.6,.559,.549,1.1,1.3,.862,1.6,4.1,5.7,1.7,0.5,0.2,0.9,2.6,7.0
223,Alize Johnson\johnsal02,PF,22,IND,3,0,3.0,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.7,.000,0.0,1.3,1.3,0.0,0.0,0.0,0.0,1.0,0.7
224,Amir Johnson\johnsam01,C,31,PHI,23,0,10.3,1.7,3.0,.559,0.3,0.5,.500,1.4,2.4,.571,.603,0.8,1.0,.783,0.8,2.3,3.1,1.4,0.2,0.3,1.1,2.0,4.3
225,James Johnson\johnsja01,PF,31,MIA,6,4,20.3,1.8,7.3,.250,1.0,2.8,.353,0.8,4.5,.185,.318,1.5,1.7,.900,0.5,1.3,1.8,3.2,0.3,0.0,0.7,2.7,6.2
